workerid,proliferate.condition,big_filler,cond,instruction,loc_big_filler,loc_contrast,loc_small_filler,loc_target_pic,pragContext,response,response_times,small_filler,target_contrast_bad,target_contrast_good,target_pic,trial,trialID,trialType,trial_number,utterance_type,error
15,condition1,string_jute.jpg,semantic_control,Click on the tank,.loc4,.loc3,.loc2,.loc1,bad,"['loc2', 'loc1']","[1043, 2556]",string_white.jpg,tank_big.jpg,kimono_big.jpg,tank_small.jpg,270,filler150,filler,3,unmodified,
15,condition1,broom_big.jpg,contrast_control,Click on the stapler,.loc1,.loc4,.loc3,.loc2,bad,"['loc2', 'loc2']","[1036, 2082]",broom_small.jpg,stapler_small.jpg,lacrosse_small.jpg,stapler_big.jpg,181,filler61,filler,4,unmodified,
15,condition1,eiffeltower_big.jpg,no_contrast,Click on the rooster,.loc4,.loc3,.loc2,.loc1,bad,"['loc1', 'loc1']","[1094, 2042]",glove_small.jpg,rooster_small.jpg,teabag_small.jpg,rooster_big.jpg,100,train60,train,5,unmodified,
15,condition1,clog_big.jpg,no_contrast,Click on the chair,.loc3,.loc4,.loc1,.loc2,bad,"['loc2', 'loc2']","[1285, 2527]",motorcycle_small.jpg,chair_small.jpg,checkerboard_small.jpg,chair_big.jpg,84,train44,train,6,unmodified,
12,condition1,fireextinguisher_big.jpg,contrast_control,Click on the fountain,.loc4,.loc2,.loc3,.loc1,good,"['loc2', 'loc1']","[1181, 2758]",fireextinguisher_small.jpg,fountain_big.jpg,eiffeltower_big.jpg,fountain_small.jpg,234,filler114,filler,3,unmodified,
12,condition1,tweezers_big.jpg,semantic_contrast,Click on the green mixer,.loc1,.loc3,.loc2,.loc4,good,"['loc1', 'loc4', 'loc4']","[670, 1703, 2142]",skirt_small.jpg,spiderweb.jpg,mixer_red.jpg,mixer_green.jpg,172,filler52,filler,4,modified,
12,condition1,origami_big.jpg,no_contrast,Click on the cactus,.loc2,.loc1,.loc4,.loc3,good,"['loc2', 'loc3']","[902, 2096]",brooch_small.jpg,cactus_big.jpg,lifevest_big.jpg,cactus_small.jpg,83,train43,train,5,unmodified,
11,condition1,chips_single.jpg,semantic_control,Click on the window,.loc1,.loc3,.loc4,.loc2,good,"['loc2', 'loc2']","[927, 1579]",chips_multiple.jpg,window_small.jpg,saddle_small.jpg,window_big.jpg,281,filler161,filler,3,unmodified,
11,condition1,beermug_big.jpg,contrast,Click on the big beetle,.loc3,.loc4,.loc2,.loc1,good,"['loc2', 'loc3', 'loc3']","[621, 1547, 2059]",pinkdice_small.jpg,lei_small.jpg,beetle_small.jpg,beetle_big.jpg,47,train7,train,4,modified,
11,condition1,quilt_blue.jpg,semantic_control,Click on the slide,.loc3,.loc1,.loc2,.loc4,good,"['loc2', 'loc4']","[717, 1977]",quilt_brown.jpg,slide_small.jpg,leopard_small.jpg,slide_big.jpg,257,filler137,filler,5,unmodified,
